UNIT,ROLE APLIKASI,USERNAME,PASSWORD,KETERANGAN
UID JABAR,PERENCANAAN UID,PERENCANAAN.UID,12345,SUPER ADMIN
BIDANG PERENCANAAN,SRM PERENCANAAN,SRM.PERENCANAAN,12345,SESI WIGSES
BIDANG PERENCANAAN,MSB PERENCANAAN,MSB.PERENCANAAN,12345,APPROVAL SELURUH WIG DAN LM UID
BIDANG NIAGA,SRM NIAGA,SRM.NIAGA,12345,SESI WIGSES
BIDANG NIAGA,MSB STRATSAR,MSB.STRATSAR,12345,APPROVAL REALISASI LM PENJUALAN UID
BIDANG NIAGA,ADMIN SUB BIDANG STRATSAR,ADMIN.STRATSAR,12345,INPUT REALISASI LM PENJUALAN UID
BIDANG DISTRIBUSI,SRM DISTRIBUSI,SRM.DISTRIBUSI,12345,SESI WIGSES
BIDANG DISTRIBUSI,MSB DALOPHAR,MSB.DALOPHAR,12345,APPROVAL REALISASI LM SAIDI UID
BIDANG DISTRIBUSI,ADMIN SUB BIDANG DALOPHAR,ADMIN.DALOPHAR,12345,INPUT REALISASI LM SAIDI UID
BIDANG DISTRIBUSI,MSB EPM,MSB.EPM,12345,APPROVAL REALISASI LM SUSUT UID
BIDANG DISTRIBUSI,ADMIN SUB BIDANG  EPM,ADMIN.EPM,12345,INPUT REALISASI LM SUSUT UID
BIDANG K3L,MSB K3L,MSB.K3L,12345,"SESI WIGSES, APPROVAL REALISASI LM FRA UID"
BIDANG K3L,ADMIN K3L,ADMIN.K3L,12345,INPUT REALISASI LM FRA UID
UP3 ,ASMAN PERENCANAAN UP3,PERENCANAAN.UP3,12345,APPROVAL SELURUH WIG DAN LM UP3
UP3 ,ASMAN NPS UP3,NPS.UP3,12345,APPROVAL SELURUH WIG DAN LM PENJUALAN
UP3 ,ASMAN TE UP3,TE.UP3,12345,APPROVAL SELURUH WIG DAN LM SUSUT
UP3 ,ASMAN JARINGAN UP3,JARINGAN.UP3,12345,APPROVAL SELURUH WIG DAN LM SAIDI
UP3 ,K3L UP3,K3LUP3,12345,APPROVAL SELURUH WIG DAN LM FRA
ULP,MULP,MULP.,12345,APPROVAL SELURUH WIG DAN LM ULP
ULP,TL RETAIL/PP ULP,TL.PP.ULP,12345,INPUT TARGET DAN REALISASI LM PENJUALAN ULP
ULP,TL TE ULP,TL.TE.ULP,12345,INPUT TARGET DAN REALISASI LM SUSUT  ULP
ULP,TL TEKNIK ULP,TL.TEKNIK.ULP,12345,INPUT TARGET DAN REALISASI LM SAIDI ULP
ULP,K3L ULP,K3L.ULP,12345,INPUT TARGET DAN REALISASI LM K3L ULP
,,,,
,,JUMLAH UNIT,TOTAL,
JUMLAH USER BIDANG,12,1,12,
JUMLAH USER UP3,5,17,85,
JUMLAH USER ULP,5,92,460,
,,TOTAL USER,557,
